zpid_1,zpid_2,zipcode_1,year_month.y_1,zestimate_linear_1,interval_range_linear_1,type_1,yearBuilt_1,bathrooms_1,bedrooms_1,lot_1,lotUnit_1,heating_1,cooling_1,parkingType_1,price.y_1,zipcode_2,year_month.y_2,zestimate_linear_2,interval_range_linear_2,type_2,yearBuilt_2,bathrooms_2,bedrooms_2,lot_2,lotUnit_2,heating_2,cooling_2,parkingType_2,price.y_2
59135132,59136419,2130,2022/4/1,1068613.793,15.0,Single Family Residence,1955,3,3,6098.0,sqft,Other,Central Air,unknown,1360000.0,2130,2022/4/1,1058861.538,13.53846154,Single Family Residence,1950,2,3,6534.0,sqft,Baseboard,"Whole House Fan, Central Air",unknown,960000.0
59131441,59133872,2130,2022/6/1,1312123.077,13.69230769,Single Family Residence,1925,4,4,5227.0,sqft,Baseboard,unknown,unknown,1400000.0,2130,2022/6/1,1534184.211,19.23157895,Single Family Residence,1900,3,4,6098.0,sqft,Hot Water,unknown,unknown,1850000.0
59134973,59135209,2130,2022/6/1,1422593.023,18.44186047,Single Family Residence,1968,3,3,9147.0,sqft,Forced Air,Central Air,unknown,1175000.0,2130,2022/6/1,1358300.0,23.0,Single Family Residence,1922,3,4,7840.0,sqft,"Natural Gas, Baseboard",Central Air,unknown,1555000.0
59135119,59135209,2130,2022/6/1,1657783.333,18.06666667,Single Family Residence,1956,3,3,0.25,Acres,"Baseboard, Natural Gas",Central Air,unknown,1956000.0,2130,2022/6/1,1358300.0,23.0,Single Family Residence,1922,3,4,7840.0,sqft,"Natural Gas, Baseboard",Central Air,unknown,1555000.0
59141747,59146428,2131,2020/10/1,631315.5333,12.6,Single Family Residence,1950,2,3,5662.0,sqft,Baseboard,Window Unit(s),unknown,499000.0,2131,2020/10/1,613089.8,14.8,Single Family Residence,1955,2,3,5662.0,sqft,Baseboard,Window Unit(s),unknown,741000.0
59141747,59146729,2131,2020/10/1,631315.5333,12.6,Single Family Residence,1950,2,3,5662.0,sqft,Baseboard,Window Unit(s),unknown,499000.0,2131,2020/10/1,617498.2667,14.66666667,Single Family Residence,1880,2,4,5662.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,675000.0
59145824,59147457,2131,2020/10/1,750599.0,11.25,Single Family Residence,1910,2,4,3049.0,sqft,"Hot Water, Electric Baseboard, Ductless","Window Unit(s), Ductless",unknown,750000.0,2131,2020/10/1,851239.8333,15.0,Single Family Residence,1920,4,4,4791.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,955000.0
59146428,59146974,2131,2020/10/1,613089.8,14.8,Single Family Residence,1955,2,3,5662.0,sqft,Baseboard,Window Unit(s),unknown,741000.0,2131,2020/10/1,576284.25,11.25,Single Family Residence,1959,2,3,5227.0,sqft,Baseboard,Window Unit(s),unknown,600000.0
59142144,59147468,2131,2020/11/1,801710.3333,11.33333333,Single Family Residence,1915,3,3,3484.0,sqft,Hydro Air,Central Air,unknown,843000.0,2131,2020/11/1,710944.5,18.5,Single Family Residence,1873,3,4,4791.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,560000.0
59144414,59147106,2131,2020/5/1,584724.9231,12.84615385,Single Family Residence,1950,2,3,6534.0,sqft,"Baseboard, Natural Gas",unknown,unknown,615000.0,2131,2020/5/1,634846.0,19.0,Single Family Residence,1880,2,7,4356.0,sqft,Forced Air,unknown,unknown,500000.0
59143212,59145532,2131,2020/7/1,636660.0,17.0,Single Family Residence,1892,2,2,3484.0,sqft,"Baseboard, Natural Gas",Window Unit(s),unknown,475000.0,2131,2020/7/1,666345.2,16.0,Single Family Residence,1860,2,4,4791.0,sqft,Hot Water,Window Unit(s),unknown,730000.0
59145226,59146305,2131,2020/7/1,580276.5385,15.53846154,Single Family Residence,1964,3,4,3484.0,sqft,"Forced Air, Central",Window Unit(s),unknown,550000.0,2131,2020/7/1,656404.5,10.4,Single Family Residence,1988,3,3,6098.0,sqft,"Forced Air, Natural Gas, Electric",Central Air,unknown,679000.0
59146590,59147227,2131,2020/7/1,516512.8,21.6,Single Family Residence,1967,2,3,8276.0,sqft,"Baseboard, Natural Gas",unknown,unknown,533000.0,2131,2020/7/1,441758.7,10.1,Single Family Residence,1920,2,2,4356.0,sqft,"Steam, Oil",unknown,unknown,425000.0
59146996,59147367,2131,2021/12/1,748200.0,14.0,Single Family Residence,1934,2,4,0.27,Acres,"Forced Air, Oil, Steam",Central Air,unknown,849000.0,2131,2021/12/1,710805.036,13.07913669,Single Family Residence,1953,2,3,5662.0,sqft,Natural Gas,Wall Unit(s),unknown,690000.0
59140948,59147011,2131,2021/4/1,422735.0,14.6,Townhouse,1988,2,2,1178.0,sqft,"Gas, Forced air",Central,unknown,405000.0,2131,2021/4/1,426528.0,21.0,Single Family Residence,1957,1,3,4791.0,sqft,"Hot Water, Natural Gas",Window Unit(s),unknown,495000.0
59141509,59146728,2131,2021/4/1,618317.6364,14.90909091,Single Family Residence,1950,1,3,5662.0,sqft,"Oil, Electric Baseboard, Baseboard",unknown,unknown,670000.0,2131,2021/4/1,588624.625,17.875,Single Family Residence,1880,2,4,6969.0,sqft,"Electric Baseboard, Oil, Baseboard",unknown,unknown,550000.0
59143082,59144709,2131,2021/4/1,685965.875,15.0,Single Family Residence,1919,2,3,3920.0,sqft,"Natural Gas, Hydronic Floor Heat(Radiant)","Central Air, High Seer Heat Pump (12+)",unknown,886000.0,2131,2021/4/1,609701.0,14.0,Single Family Residence,1954,3,3,4791.0,sqft,Forced Air,Window Unit(s),unknown,528000.0
59141599,247150796,2131,2021/6/1,598593.6923,13.84615385,Single Family Residence,1900,2,5,7840.0,sqft,Baseboard,unknown,unknown,490000.0,2131,2021/6/1,560930.4545,12.18181818,"Condominium, Townhouse",1986,2,2,5662.0,sqft,Baseboard,unknown,unknown,625000.0
59143073,59146589,2131,2021/6/1,743974.4,11.6,Single Family Residence,1905,2,4,3920.0,sqft,Forced Air,Central Air,unknown,875000.0,2131,2021/6/1,668074.8,12.7,Single Family Residence,1968,2,4,4791.0,sqft,"Central, Active Solar, Baseboard, Natural Gas",Window Unit(s),unknown,715000.0
59143073,59147326,2131,2021/6/1,743974.4,11.6,Single Family Residence,1905,2,4,3920.0,sqft,Forced Air,Central Air,unknown,875000.0,2131,2021/6/1,686480.3333,12.5,Single Family Residence,1925,2,3,6534.0,sqft,"Forced Air, Natural Gas, Ductless","Ductless, Central Air",unknown,714000.0
59143073,59147571,2131,2021/6/1,743974.4,11.6,Single Family Residence,1905,2,4,3920.0,sqft,Forced Air,Central Air,unknown,875000.0,2131,2021/6/1,672486.75,11.58333333,Single Family Residence,1935,2,3,3920.0,sqft,"Baseboard, Natural Gas",Window Unit(s),unknown,635000.0
59143089,123851010,2131,2021/6/1,941210.9,20.0,Single Family Residence,1915,3,4,3484.0,sqft,"Forced Air, ENERGY STAR Qualified Equipment, Natural Gas","Dual, Central Air, ENERGY STAR Qualified Equipment",unknown,1050000.0,2131,2021/6/1,861046.1,15.4,Single Family Residence,2015,3,3,5662.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,850000.0
59144385,59144413,2131,2021/8/1,886462.0,17.0,Single Family Residence,2007,4,3,4356.0,sqft,Forced Air,Central Air,unknown,1050000.0,2131,2021/8/1,876683.3333,13.33333333,Single Family Residence,1899,2,3,6534.0,sqft,"Radiant, Hot Water, Baseboard, Natural Gas",Window Unit(s),unknown,875000.0
59144385,59144961,2131,2021/8/1,886462.0,17.0,Single Family Residence,2007,4,3,4356.0,sqft,Forced Air,Central Air,unknown,1050000.0,2131,2021/8/1,806400.0,19.0,Single Family Residence,1915,2,3,0.26,Acres,"Natural Gas, Steam",Central Air,unknown,801000.0
59144385,59147108,2131,2021/8/1,886462.0,17.0,Single Family Residence,2007,4,3,4356.0,sqft,Forced Air,Central Air,unknown,1050000.0,2131,2021/8/1,796456.4,12.6,Single Family Residence,1905,2,4,4356.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,866000.0
59143148,59143485,2131,2021/9/1,759591.5254,21.16949153,Single Family Residence,1900,2,3,4791.0,sqft,"Hot Water, Electric Baseboard, Natural Gas",Window Unit(s),unknown,875000.0,2131,2021/9/1,650903.3898,11.91525424,Single Family Residence,1960,2,3,3484.0,sqft,"Natural Gas, Baseboard",Window Unit(s),unknown,695000.0
59143682,59146588,2131,2021/9/1,567549.1525,13.05084746,Single Family Residence,1958,3,4,4356.0,sqft,Natural Gas,Wall Unit(s),unknown,570000.0,2131,2021/9/1,620403.3898,15.59322034,Single Family Residence,1950,2,4,3920.0,sqft,Baseboard,Central Air,unknown,700000.0
59144309,59146277,2131,2021/9/1,587616.6667,22.5,Single Family Residence,1900,2,2,3049.0,sqft,Forced Air,unknown,unknown,400000.0,2131,2021/9/1,641084.7458,15.69491525,Single Family Residence,1870,2,3,4356.0,sqft,Natural Gas,unknown,unknown,608000.0
59141408,59143903,2131,2022/4/1,681832.1429,14.0,Single Family Residence,1935,2,3,4791.0,sqft,Forced Air,Central Air,unknown,700000.0,2131,2022/4/1,651036.0,16.72,Single Family Residence,1910,2,2,5662.0,sqft,"Hot Water, Central, ENERGY STAR Qualified Equipment, Natural Gas",Central Air,unknown,905000.0
59141408,59144406,2131,2022/4/1,681832.1429,14.0,Single Family Residence,1935,2,3,4791.0,sqft,Forced Air,Central Air,unknown,700000.0,2131,2022/4/1,745260.1399,11.87412587,Single Family Residence,1965,2,3,2613.0,sqft,"Baseboard, Natural Gas",Window Unit(s),unknown,870000.0
59141408,59145941,2131,2022/4/1,681832.1429,14.0,Single Family Residence,1935,2,3,4791.0,sqft,Forced Air,Central Air,unknown,700000.0,2131,2022/4/1,760514.2857,20.0,Single Family Residence,1890,2,3,7840.0,sqft,"Hot Water, Central, Ductless","Central Air, Ductless",unknown,1025000.0
59141510,59143903,2131,2022/4/1,643057.1429,15.07142857,Single Family Residence,1950,2,3,4356.0,sqft,"Oil, Baseboard","Wall Unit(s), Window Unit(s)",unknown,600000.0,2131,2022/4/1,651036.0,16.72,Single Family Residence,1910,2,2,5662.0,sqft,"Hot Water, Central, ENERGY STAR Qualified Equipment, Natural Gas",Central Air,unknown,905000.0
59141510,59145941,2131,2022/4/1,643057.1429,15.07142857,Single Family Residence,1950,2,3,4356.0,sqft,"Oil, Baseboard","Wall Unit(s), Window Unit(s)",unknown,600000.0,2131,2022/4/1,760514.2857,20.0,Single Family Residence,1890,2,3,7840.0,sqft,"Hot Water, Central, Ductless","Central Air, Ductless",unknown,1025000.0
59141510,59146675,2131,2022/4/1,643057.1429,15.07142857,Single Family Residence,1950,2,3,4356.0,sqft,"Oil, Baseboard","Wall Unit(s), Window Unit(s)",unknown,600000.0,2131,2022/4/1,713228.5714,23.78571429,Single Family Residence,1925,3,4,6534.0,sqft,Baseboard,Central Air,unknown,769900.0
59145941,59146675,2131,2022/4/1,760514.2857,20.0,Single Family Residence,1890,2,3,7840.0,sqft,"Hot Water, Central, Ductless","Central Air, Ductless",unknown,1025000.0,2131,2022/4/1,713228.5714,23.78571429,Single Family Residence,1925,3,4,6534.0,sqft,Baseboard,Central Air,unknown,769900.0
59143548,59144586,2131,2022/5/1,654640.0,21.96,Single Family Residence,1890,1,3,4791.0,sqft,Forced Air,Window Unit(s),unknown,775000.0,2131,2022/5/1,535708.0,30.6,Single Family Residence,1920,2,4,6098.0,sqft,"Hot Water, Natural Gas",Ductless,unknown,630000.0
