zpid_1,zpid_2,zipcode_1,year_month.y_1,zestimate_linear_1,interval_range_linear_1,type_1,yearBuilt_1,bathrooms_1,bedrooms_1,lot_1,lotUnit_1,heating_1,cooling_1,parkingType_1,price.y_1,zipcode_2,year_month.y_2,zestimate_linear_2,interval_range_linear_2,type_2,yearBuilt_2,bathrooms_2,bedrooms_2,lot_2,lotUnit_2,heating_2,cooling_2,parkingType_2,price.y_2,pred_choice,model_text,true_choice,correct,price_ratio,difficulty,bedrooms_diff,bathrooms_diff,year_diff,lot_diff,feature_profile,is_correct
11468495,11469194,15236,2020/11/1,179563.5,13.0,"Single Family Residence, Residential",1955,2,3,7700.0,sqft,"Forced Air, Natural Gas","Central Air, Electric",unknown,193500.0,15236,2020/11/1,168694.0,15.0,"Single Family Residence, Residential",1954,2,3,7150.0,sqft,"Forced Air, Natural Gas","Central Air, Electric",unknown,140000.0,1,CHOICE: 1,1.0,True,0.3821428571428571,medium,0,0,1,550.0,mixed,True
11353601,11646045,15227,2019/8/1,113983.1765,29.88235294,SingleFamily,1931,2,2,2835.0,sqft,"Other, Forced air, Gas","Other, Central",unknown,114000.0,15227,2019/8/1,136345.6471,13.05882353,SingleFamily,1953,2,3,7906.0,sqft,"Other, Gas",Central,unknown,155000.0,2,CHOICE: 2,2.0,True,0.35964912280701755,medium,-1,0,-22,-5071.0,bedrooms_dominant,True
11291853,11427012,15203,2021/4/1,172416.0769,26.53846154,"Single Family Residence, Residential",1900,1,2,901.69,sqft,"Forced Air, Natural Gas",Window A/C,Open Parking,165000.0,15203,2021/4/1,184355.0,33.0,"Single Family Residence, Residential",1890,3,3,1440.0,sqft,Natural Gas,Central Air,Open Parking,295000.0,2,CHOICE: 2,2.0,True,0.7878787878787878,easy,-1,-2,10,-538.31,mixed,True
11343725,11344433,15218,2021/3/1,256408.0,21.0,"Single Family Residence, Residential",1949,2,3,3519.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,230000.0,15218,2021/3/1,286421.5455,25.72727273,"Single Family Residence, Residential",1892,3,3,3301.0,sqft,Natural Gas,Central Air,unknown,360000.0,2,CHOICE: 2,2.0,True,0.5652173913043478,easy,0,-1,57,218.0,bathrooms_dominant,True
11610260,11659365,15212,2022/7/1,158322.4444,34.88888889,"Single Family Residence, Residential",1910,2,2,8498.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,150000.0,15212,2022/7/1,228796.0,53.33333333,"Single Family Residence, Residential",1880,2,3,1167.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,335000.0,2,CHOICE: 2,2.0,True,1.2333333333333334,easy,-1,0,30,7331.0,bedrooms_dominant,True
11275687,11615347,15201,2020/7/1,192182.0,26.0,SingleFamily,1953,2,3,3049.0,sqft,Other,Central,Garage - Attached,255000.0,15201,2020/7/1,199493.0,29.33333333,"Single Family Residence, Residential",1900,2,3,1080.0,sqft,"Forced Air, Natural Gas","Central Air, Wall Unit(s)",Open Parking,122750.0,1,CHOICE: 1,1.0,True,1.0773930753564154,easy,0,0,53,1969.0,year_dominant,True
11570840,11656362,15216,2020/2/1,143649.0,19.75,SingleFamily,1927,2,3,2800.0,sqft,Other,unknown,unknown,139900.0,15216,2020/2/1,167192.0,17.0,SingleFamily,1930,2,3,5087.0,sqft,Other,unknown,unknown,219900.0,2,CHOICE: 2,2.0,True,0.5718370264474625,easy,0,0,-3,-2287.0,lot_dominant,True
11290490,11427012,15203,2021/4/1,199150.5714,13.64285714,"Single Family Residence, Residential",1907,1,1,1280.0,sqft,"Forced Air, Natural Gas",Central Air,Open Parking,195000.0,15203,2021/4/1,184355.0,33.0,"Single Family Residence, Residential",1890,3,3,1440.0,sqft,Natural Gas,Central Air,Open Parking,295000.0,2,CHOICE: 2,2.0,True,0.5128205128205128,easy,-2,-2,17,-160.0,mixed,True
11388289,104363278,15212,2020/6/1,290763.9,23.35,SingleFamily,1890,4,3,2199.0,sqft,Other,Central,unknown,720000.0,15212,2020/6/1,341998.8,12.0,Townhouse,2010,3,3,1881.0,sqft,"Forced air, Gas",Central,unknown,365000.0,1,CHOICE: 1,1.0,True,0.9726027397260274,easy,0,1,-120,318.0,bathrooms_dominant,True
11481710,11558334,15237,2020/11/1,181432.5,22.9,"Single Family Residence, Residential",1945,2,3,0.4,Acres,"Hot Water, Natural Gas",Window A/C,unknown,110000.0,15237,2020/11/1,206544.0,13.66666667,"Single Family Residence, Residential",1963,2,3,5300.0,sqft,"Forced Air, Natural Gas","Central Air, Electric",unknown,194500.0,2,CHOICE: 2,2.0,True,0.7681818181818182,easy,0,0,-18,-5299.6,lot_dominant,True
11468568,11506775,15236,2022/2/1,212322.449,26.16326531,"Single Family Residence, Residential",1960,3,3,7801.0,sqft,"Hot Water, Natural Gas",Central Air,unknown,318000.0,15236,2022/2/1,210628.3784,10.0,"Single Family Residence, Residential",1943,1,3,5148.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,200000.0,1,CHOICE: 1,1.0,True,0.59,easy,0,2,17,2653.0,bathrooms_dominant,True
11322935,11404846,15202,2022/4/1,144622.5806,26.83870968,"Single Family Residence, Residential",1952,1,3,4051.0,sqft,"Forced Air, Natural Gas","Central Air, Electric",unknown,160000.0,15202,2022/4/1,198927.0833,48.8125,"Single Family Residence, Residential",1911,1,4,8533.0,sqft,"Forced Air, Natural Gas",Window A/C,unknown,245000.0,2,CHOICE: 2,2.0,True,0.53125,easy,-1,0,41,-4482.0,bedrooms_dominant,True
11388643,11395055,15212,2021/12/1,130103.4483,41.37931034,SingleFamily,1910,1,2,781.0,sqft,"Forced air, Gas",unknown,unknown,120000.0,15212,2021/12/1,124763.0573,54.50318471,"Single Family Residence, Residential",1900,1,4,1102.0,sqft,"Forced Air, Natural Gas",unknown,unknown,182500.0,2,CHOICE: 2,2.0,True,0.5208333333333334,easy,-2,0,10,-321.0,bedrooms_dominant,True
11299706,11508286,15236,2020/6/1,195211.2,15.5,SingleFamily,1967,3,3,6751.0,sqft,Other,Central,unknown,190000.0,15236,2020/6/1,177271.1818,31.09090909,SingleFamily,1910,4,4,5227.0,sqft,"Forced air, None",Central,unknown,290000.0,2,CHOICE: 2,2.0,True,0.5263157894736842,easy,-1,-1,57,1524.0,year_dominant,True
11658556,11659334,15216,2020/12/1,415026.0,22.0,"Single Family Residence, Residential",1952,4,4,8775.0,sqft,Natural Gas,Central Air,unknown,580000.0,15216,2020/12/1,339816.1538,23.0,"Single Family Residence, Residential",1931,4,4,6250.0,sqft,"Forced Air, Natural Gas",Window A/C,unknown,367500.0,1,CHOICE: 1,1.0,True,0.5782312925170068,easy,0,0,21,2525.0,year_dominant,True
11516126,11516233,15211,2021/6/1,257404.4545,18.63636364,"Single Family Residence, Residential",1899,2,4,3197.0,sqft,"Forced Air, Natural Gas",Window A/C,unknown,277000.0,15211,2021/6/1,226509.0,29.0,"Single Family Residence, Residential",1910,2,3,2278.0,sqft,Natural Gas,Central Air,unknown,225000.0,2,CHOICE: 2,1.0,False,0.2311111111111111,hard,1,0,-11,919.0,bedrooms_dominant,False
11325526,11369347,15202,2020/7/1,171644.8889,24.22222222,SingleFamily,1934,1,3,4160.0,sqft,"Gas, Forced air, Baseboard, Electric",Central,unknown,180500.0,15202,2020/7/1,146480.8889,17.77777778,SingleFamily,1930,2,3,5327.0,sqft,Other,wall unit,unknown,146500.0,2,CHOICE: 2,1.0,False,0.23208191126279865,hard,0,-1,4,-1167.0,bathrooms_dominant,False
11359064,11359065,15234,2020/9/1,277161.4545,16.09090909,"Single Family Residence, Residential",1956,2,3,9343.0,sqft,"Forced Air, Natural Gas","Central Air, Electric",unknown,270000.0,15234,2020/9/1,272717.0,22.0,SingleFamily,1956,2,3,8270.0,sqft,"Forced air, Gas",Central,unknown,210226.0,2,CHOICE: 2,1.0,False,0.2843320997402795,hard,0,0,0,1073.0,mixed,False
11484852,11558275,15237,2021/7/1,372790.1333,23.0,"Single Family Residence, Residential",1960,3,4,0.53,Acres,"Forced Air, Natural Gas",Central Air,unknown,400000.0,15237,2021/7/1,341331.5455,14.63636364,"Single Family Residence, Residential",1995,3,4,5257.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,320000.0,2,CHOICE: 2,1.0,False,0.25,hard,0,0,-35,-5256.47,year_dominant,False
11484094,11484913,15237,2019/11/1,215422.0,21.0,SingleFamily,1950,3,3,0.28,Acres,"Other, Forced air, Gas",Central,unknown,205000.0,15237,2019/11/1,249343.0,15.7,SingleFamily,1950,3,3,9757.0,sqft,"Forced air, Gas",Central,unknown,160000.0,2,CHOICE: 2,1.0,False,0.28125,hard,0,0,0,-9756.72,lot_dominant,False
59157878,59158157,2132,2021/6/1,969425.5455,21.0,Single Family Residence,1900,2,5,6534.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,1150000.0,2132,2021/6/1,906905.2727,27.0,Single Family Residence,1880,2,4,10018.0,sqft,"Oil, Hot Water",Window Unit(s),unknown,930000.0,2,CHOICE: 2,1.0,False,0.23655913978494625,hard,1,0,20,-3484.0,bedrooms_dominant,False
