pair_index,feature,is_correct,shift_type,did_flip,n_steps,mention_counts
17,yearBuilt,True,non_monotonic,True,20,"[4, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3]"
18,bathrooms,True,gradual,True,3,"[2, 2, 4]"
18,bedrooms,True,sudden,True,1,[2]
18,lot,True,sudden,True,1,[5]
18,yearBuilt,True,non_monotonic,True,11,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 3]"
19,bathrooms,True,gradual,True,2,"[1, 2]"
19,bedrooms,True,no_change,False,7,"[2, 1, 2, 1, 1, 1, 1]"
19,lot,True,non_monotonic,True,22,"[4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4]"
19,yearBuilt,True,non_monotonic,True,15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 5]"
20,bathrooms,False,non_monotonic,True,5,"[1, 2, 3, 1, 2]"
20,bedrooms,False,no_change,False,7,"[2, 2, 2, 2, 2, 2, 2]"
20,lot,False,non_monotonic,True,21,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 6, 3]"
20,yearBuilt,False,no_change,False,47,"[3, 3, 3, 3, 4, 5, 4, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3]"
21,bathrooms,True,no_change,False,8,"[1, 2, 2, 2, 2, 2, 2, 2]"
21,bedrooms,True,non_monotonic,True,3,"[2, 1, 1]"
21,lot,True,non_monotonic,True,48,"[4, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 5, 4, 5, 5, 5, 5, 5, 5, 4, 4, 4, 2, 4, 4, 4, 3]"
21,yearBuilt,True,no_change,False,15,"[3, 3, 3, 3, 3, 3, 3, 4, 2, 2, 3, 3, 3, 2, 3]"
22,bathrooms,True,gradual,True,8,"[2, 2, 2, 2, 2, 2, 2, 3]"
22,bedrooms,True,no_change,False,7,"[3, 3, 3, 3, 3, 2, 3]"
22,lot,True,gradual,True,15,"[3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
22,yearBuilt,True,no_change,False,34,"[2, 3, 6, 5, 6, 6, 2, 3, 3, 2, 2, 4, 4, 4, 4, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3]"
23,bathrooms,True,sudden,True,2,"[4, 4]"
23,bedrooms,True,sudden,True,1,[3]
23,lot,True,non_monotonic,True,20,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 0]"
23,yearBuilt,True,non_monotonic,True,18,"[1, 1, 0, 1, 1, 1, 1, 1, 0, 2, 0, 0, 0, 2, 0, 2, 2, 1]"
24,bathrooms,True,gradual,True,6,"[2, 2, 2, 2, 3, 3]"
24,bedrooms,True,no_change,False,7,"[1, 3, 3, 3, 3, 3, 3]"
24,lot,True,no_change,False,50,"[5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 4, 4, 5, 5, 5, 4, 4, 5, 4, 5, 4, 5, 5, 4, 4, 4, 5, 4, 5, 5, 4, 5, 5]"
24,yearBuilt,True,no_change,False,26,"[2, 2, 2, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2]"
25,bathrooms,True,gradual,True,9,"[1, 2, 2, 2, 2, 2, 3, 3, 3]"
25,bedrooms,True,no_change,False,7,"[1, 2, 2, 2, 2, 2, 2]"
25,lot,True,non_monotonic,True,10,"[4, 5, 4, 4, 4, 5, 4, 4, 4, 4]"
25,yearBuilt,True,no_change,False,47,"[2, 2, 3, 2, 2, 2, 2, 4, 4, 2, 2, 4, 4, 4, 4, 2, 4, 4, 2, 4, 2, 4, 2, 4, 2, 4, 2, 3, 3, 4, 4, 4, 3, 3, 4, 3, 3, 3, 3, 4, 3, 3, 4, 4, 4, 4, 4]"
26,bathrooms,True,sudden,True,1,[2]
26,bedrooms,True,sudden,True,1,[1]
26,lot,True,non_monotonic,True,33,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 5, 4, 4, 5, 4, 5, 4, 5, 5, 6, 6, 5, 4, 5, 6, 5, 4]"
26,yearBuilt,True,gradual,True,5,"[2, 2, 2, 2, 4]"
27,bathrooms,True,no_change,False,7,"[2, 3, 3, 2, 2, 3, 3]"
27,bedrooms,True,no_change,False,6,"[2, 3, 2, 2, 2, 3]"
27,lot,True,non_monotonic,True,23,"[3, 3, 4, 3, 4, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 4, 4, 4, 5, 4, 4, 4, 5]"
27,yearBuilt,True,no_change,False,47,"[3, 3, 3, 4, 3, 2, 2, 2, 3, 4, 4, 4, 2, 3, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 3, 3, 3]"
28,bathrooms,True,sudden,True,1,[2]
28,bedrooms,True,sudden,True,1,[2]
28,lot,True,non_monotonic,True,31,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4]"
28,yearBuilt,True,sudden,True,1,[4]
29,bathrooms,True,no_change,False,8,"[0, 1, 1, 1, 1, 1, 1, 2]"
29,bedrooms,True,sudden,True,1,[1]
29,lot,True,no_change,False,50,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
29,yearBuilt,True,no_change,False,42,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
30,bathrooms,False,sudden,True,1,[2]
30,bedrooms,False,sudden,True,1,[3]
30,lot,False,sudden,True,5,"[4, 4, 4, 4, 4]"
30,yearBuilt,False,sudden,True,10,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
31,bathrooms,True,sudden,True,1,[2]
31,bedrooms,True,no_change,False,6,"[2, 3, 2, 3, 2, 2]"
31,lot,True,sudden,True,1,[5]
31,yearBuilt,True,sudden,True,1,[3]
32,bathrooms,True,gradual,True,2,"[2, 3]"
32,bedrooms,True,sudden,True,1,[3]
32,lot,True,sudden,True,1,[4]
32,yearBuilt,True,non_monotonic,True,7,"[2, 3, 3, 5, 2, 4, 4]"
33,bathrooms,True,no_change,False,8,"[2, 3, 4, 3, 3, 3, 3, 2]"
33,bedrooms,True,no_change,False,8,"[4, 2, 3, 3, 3, 2, 2, 2]"
33,lot,True,no_change,False,50,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 5, 4, 4, 5, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4]"
33,yearBuilt,True,no_change,False,42,"[2, 2, 3, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 2, 2, 2, 2, 3, 2, 3, 3, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 2]"
34,bathrooms,True,gradual,True,2,"[2, 3]"
34,bedrooms,True,sudden,True,1,[2]
34,yearBuilt,True,no_change,False,32,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
35,bathrooms,True,no_change,False,9,"[4, 4, 4, 4, 4, 4, 4, 4, 4]"
35,bedrooms,True,sudden,True,2,"[4, 4]"
35,lot,True,no_change,False,50,"[5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5]"
35,yearBuilt,True,gradual,True,26,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4]"
36,bathrooms,True,no_change,False,8,"[1, 1, 1, 1, 1, 1, 1, 1]"
36,bedrooms,True,sudden,True,2,"[1, 1]"
36,lot,True,no_change,False,50,"[3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
36,yearBuilt,True,no_change,False,42,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 4, 4, 4, 4, 1, 3, 3, 4, 4, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1]"
37,bathrooms,True,gradual,True,3,"[1, 2, 3]"
37,bedrooms,True,no_change,False,7,"[3, 4, 3, 3, 3, 3, 3]"
37,lot,True,non_monotonic,True,9,"[1, 0, 3, 0, 0, 0, 0, 3, 5]"
37,yearBuilt,True,non_monotonic,True,35,"[2, 4, 3, 3, 3, 3, 3, 5, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 4, 3, 3, 4, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3]"
38,bathrooms,True,sudden,True,2,"[2, 2]"
38,bedrooms,True,sudden,True,1,[2]
38,lot,True,non_monotonic,True,10,"[5, 4, 4, 3, 4, 4, 4, 4, 4, 5]"
38,yearBuilt,True,non_monotonic,True,43,"[2, 2, 2, 2, 2, 2, 2, 4, 2, 2, 2, 2, 4, 4, 4, 2, 2, 2, 2, 3, 2, 2, 4, 4, 4, 4, 4, 2, 2, 3, 2, 2, 2, 2, 4, 2, 3, 2, 2, 2, 3, 3, 4]"
39,bathrooms,True,gradual,True,5,"[1, 1, 3, 3, 3]"
39,bedrooms,True,gradual,True,6,"[2, 2, 2, 2, 2, 3]"
39,lot,True,non_monotonic,True,26,"[0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, 0, 4, 4, 4, 5, 5]"
39,yearBuilt,True,no_change,False,37,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
40,bathrooms,True,gradual,True,3,"[1, 2, 2]"
40,bedrooms,True,gradual,True,3,"[1, 2, 2]"
40,lot,True,non_monotonic,True,19,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4]"
40,yearBuilt,True,no_change,False,7,"[2, 2, 2, 2, 2, 2, 2]"
41,bathrooms,False,gradual,True,4,"[2, 2, 2, 3]"
41,bedrooms,False,non_monotonic,True,3,"[2, 1, 1]"
41,lot,False,no_change,False,50,"[5, 5, 4, 5, 5, 5, 4, 5, 4, 4, 4, 5, 5, 5, 5, 5, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 4]"
41,yearBuilt,False,no_change,False,47,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 2, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4]"
42,bathrooms,True,non_monotonic,True,3,"[3, 2, 3]"
42,bedrooms,True,non_monotonic,True,4,"[2, 3, 2, 3]"
42,lot,True,non_monotonic,True,26,"[5, 5, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 5, 5, 5, 7, 5, 5, 5, 5, 5, 6]"
42,yearBuilt,True,no_change,False,42,"[2, 2, 2, 3, 3, 2, 3, 4, 4, 3, 2, 2, 3, 3, 3, 3, 4, 4, 3, 2, 3, 4, 4, 2, 2, 4, 2, 2, 2, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
43,bathrooms,True,sudden,True,1,[0]
43,bedrooms,True,gradual,True,2,"[1, 2]"
43,lot,True,non_monotonic,True,5,"[2, 2, 2, 3, 2]"
43,yearBuilt,True,gradual,True,4,"[0, 0, 2, 2]"
44,bathrooms,True,sudden,True,1,[3]
44,bedrooms,True,sudden,True,1,[2]
44,lot,True,non_monotonic,True,11,"[5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 5]"
44,yearBuilt,True,non_monotonic,True,10,"[3, 3, 3, 3, 3, 3, 3, 4, 4, 2]"
45,bathrooms,True,sudden,True,2,"[3, 3]"
45,bedrooms,True,sudden,True,1,[3]
45,lot,True,gradual,True,5,"[2, 2, 2, 2, 3]"
45,yearBuilt,True,non_monotonic,True,6,"[3, 4, 2, 3, 3, 4]"
46,bathrooms,True,no_change,False,8,"[2, 1, 3, 2, 2, 2, 2, 3]"
46,bedrooms,True,no_change,False,8,"[1, 2, 2, 2, 2, 3, 3, 2]"
46,lot,True,no_change,False,50,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
46,yearBuilt,True,no_change,False,47,"[2, 2, 5, 5, 3, 3, 4, 3, 3, 4, 3, 3, 3, 3, 3, 4, 3, 5, 3, 5, 5, 5, 5, 4, 5, 5, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 2, 2, 2]"
47,bathrooms,True,non_monotonic,True,4,"[3, 1, 2, 2]"
47,bedrooms,True,gradual,True,7,"[1, 2, 2, 2, 2, 2, 2]"
47,lot,True,non_monotonic,True,12,"[1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4]"
47,yearBuilt,True,no_change,False,47,"[3, 3, 3, 3, 3, 3, 2, 2, 3, 2, 2, 2, 2, 2, 3, 3, 3, 2, 2, 2, 3, 2, 2, 3, 2, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
48,bathrooms,False,sudden,True,2,"[2, 2]"
48,bedrooms,False,no_change,False,7,"[2, 2, 2, 2, 2, 2, 1]"
48,lot,False,non_monotonic,True,3,"[6, 3, 4]"
48,yearBuilt,False,sudden,True,1,[3]
49,bathrooms,False,gradual,True,8,"[2, 2, 2, 2, 2, 2, 2, 3]"
49,bedrooms,False,sudden,True,1,[2]
49,lot,False,non_monotonic,True,8,"[4, 4, 4, 5, 4, 4, 4, 5]"
49,yearBuilt,False,sudden,True,1,[4]
50,bathrooms,True,no_change,False,8,"[2, 2, 2, 2, 2, 2, 2, 2]"
50,bedrooms,True,no_change,False,7,"[1, 1, 1, 1, 1, 1, 1]"
50,lot,True,non_monotonic,True,21,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4]"
50,yearBuilt,True,no_change,False,47,"[1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
51,bathrooms,True,sudden,True,1,[2]
51,bedrooms,True,non_monotonic,True,6,"[2, 3, 2, 2, 2, 2]"
51,lot,True,sudden,True,5,"[2, 2, 2, 2, 2]"
51,yearBuilt,True,no_change,False,47,"[2, 1, 2, 2, 3, 1, 3, 3, 1, 2, 3, 3, 3, 1, 3, 3, 3, 3, 1, 1, 2, 3, 2, 3, 3, 3, 2, 2, 3, 2, 3, 3, 3, 2, 3, 2, 2, 2, 3, 3, 3, 3, 3, 2, 3, 3, 2]"
52,bathrooms,True,non_monotonic,True,3,"[2, 1, 2]"
52,bedrooms,True,sudden,True,2,"[2, 2]"
52,lot,True,sudden,True,4,"[4, 4, 4, 4]"
52,yearBuilt,True,no_change,False,47,"[4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 4, 3, 3, 3, 3, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 4]"
53,bathrooms,True,sudden,True,1,[1]
53,bedrooms,True,sudden,True,1,[2]
53,lot,True,non_monotonic,True,3,"[4, 5, 4]"
53,yearBuilt,True,no_change,False,7,"[4, 3, 3, 2, 2, 4, 4]"
54,bathrooms,True,no_change,False,8,"[3, 2, 2, 2, 2, 2, 2, 2]"
54,bedrooms,True,no_change,False,7,"[2, 3, 3, 3, 3, 3, 3]"
